trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,train_id,is_assigned,direction,stop_sequence,stop_id,arrival_delay,arrival_time,arrival_uncertainty,departure_delay,departure_time,departure_uncertainty,schedule_relationship_update,scheduled_track,actual_track,timestamp
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0,130S,0,1503267837,0,0,1503267837,0,0,1,,0
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0,131S,0,1503267897,0,0,1503267897,0,0,1,,0
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0,132S,0,1503267957,0,0,1503267957,0,0,1,,0
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0,133S,0,1503268047,0,0,1503268047,0,0,1,,0
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0,134S,0,1503268137,0,0,1503268137,0,0,1,,0
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0,135S,0,1503268227,0,0,1503268227,0,0,1,,0
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0,136S,0,1503268287,0,0,1503268287,0,0,1,,0
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0,137S,0,1503268377,0,0,1503268467,0,0,1,,0
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0,138S,0,1503268557,0,0,1503268557,0,0,1,,0
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0,139S,0,1503268647,0,0,1503268647,0,0,1,,0
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0,142S,0,1503268767,0,0,0,0,0,1,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,119N,0,1503267630,0,0,1503267630,0,0,4,4,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,118N,0,1503267720,0,0,1503267720,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,117N,0,1503267780,0,0,1503267780,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,116N,0,1503267930,0,0,1503267930,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,115N,0,1503268050,0,0,1503268050,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,114N,0,1503268140,0,0,1503268140,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,113N,0,1503268260,0,0,1503268260,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,112N,0,1503268350,0,0,1503268350,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,111N,0,1503268470,0,0,1503268470,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,110N,0,1503268560,0,0,1503268560,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,109N,0,1503268620,0,0,1503268620,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,108N,0,1503268710,0,0,1503268710,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,107N,0,1503268800,0,0,1503268800,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,106N,0,1503268890,0,0,1503268890,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,104N,0,1503268980,0,0,1503268980,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,103N,0,1503269070,0,0,1503269190,0,0,4,,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0,101N,0,1503269280,0,0,0,0,0,4,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,123S,0,1503267641,0,0,1503267641,0,0,1,1,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,124S,0,1503267731,0,0,1503267731,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,125S,0,1503267821,0,0,1503267821,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,126S,0,1503267941,0,0,1503267941,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,127S,0,1503268031,0,0,1503268031,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,128S,0,1503268121,0,0,1503268121,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,129S,0,1503268211,0,0,1503268211,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,130S,0,1503268271,0,0,1503268271,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,131S,0,1503268331,0,0,1503268331,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,132S,0,1503268391,0,0,1503268391,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,133S,0,1503268481,0,0,1503268481,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,134S,0,1503268571,0,0,1503268571,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,135S,0,1503268661,0,0,1503268661,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,136S,0,1503268721,0,0,1503268721,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,137S,0,1503268811,0,0,1503268901,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,138S,0,1503268991,0,0,1503268991,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,139S,0,1503269081,0,0,1503269081,0,0,1,,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0,142S,0,1503269201,0,0,0,0,0,1,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,124N,0,1503267621,0,0,1503267621,0,0,4,4,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,123N,0,1503267681,0,0,1503267681,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,122N,0,1503267801,0,0,1503267801,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,121N,0,1503267861,0,0,1503267861,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,120N,0,1503267981,0,0,1503267981,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,119N,0,1503268071,0,0,1503268071,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,118N,0,1503268161,0,0,1503268161,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,117N,0,1503268221,0,0,1503268221,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,116N,0,1503268371,0,0,1503268371,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,115N,0,1503268491,0,0,1503268491,0,0,4,,0
